# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE OVEST MILANESE (ANAC)
# 3555 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A0058042D1;2023-08-25;PROCEDURA APERTA, EX ART. 71 DEL D.LGS. 36/2023, PER L'ASSEGNAZIONE DELLA FORNITURA DEL SISTEMA PER PRELIEVO SOTTOVUOTO - GARA AGGREGATA TRA LE ASST: OVEST MILANESE (CAPOFILA), SANTI PAOLO E CARLO, FATEBENEFRATELLI SACCO, RHODENSE, LECCO, SETTE LAGHI, VALLE OLONA, VALTELLINA E ALTO LARIO (MANDANTI).;40600000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;BECTON, DICKINSON ITALIA S.P.A.
B49855A08A;2024-12-04;LOTTO 5: SISTEMA DI MAPPAGGIO ELETTROANATOMICO ED ABLAZIONE TRANS-CATETERE DELLE ARITMIE CARDIACHE COMPLESSE;38850000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B49855D303;2024-12-04;LOTTO 8: KIT PER L'ESECUZIONE DI ABLAZIONE TRANS-CATETERE DELLA FIBRILLAZIONE ATRIALE TRAMITE ELETTROPORAZIONE O PULSED FIELD ABLATION (PFA);29414000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A0064F7271;2023-09-01;PROCEDURA APERTA, EX ART. 71 DEL D.LGS. 36/2023, PER L'ASSEGNAZIONE DELLA FORNITURA SETTENNALE IN NOLEGGIO DI STRUMENTI E MATERIALI IN VENDITA DI DISINFEZIONE E LA SUCCESSIVA CONSERVAZIONE DI STRUMENTI ENDOSCOPICI FLESSIBILI - GARA AGGREGATA;29262211;PROCEDURA APERTA;APPARECCHI PER LA STERILIZZAZIONE, LA DISINFEZIONE E L'IGIENE;CANTEL MEDICAL (ITALY) S.R.L.
B489AD7A14;2024-12-02;SISTEMI PER INIEZIONE MEZZO DI CONTRASTO IN TC;25774208;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
987648091F;2023-06-27;LOTTO 12 - SUTURATRICI LINEARI LAPAROSCOPICHE COMPUTERIZZATE TAGLIA E CUCI CON MANIPOLO UNIVERSALE CON RICARICA VARIABILE;15343316;PROCEDURA APERTA;MATERIALE PER SUTURE CHIRURGICHE;MEDTRONIC ITALIA S.P.A.
9876354127;2023-06-27;LOTTO 3 - SUTURATRICI LAPAROSCOPICHE LINEARI TAGLIA E CUCI CON MANIPOLO UNIVERSALE CON RICARICA VARIABILE;14743352;PROCEDURA APERTA;MATERIALE PER SUTURE CHIRURGICHE;CARLO BIANCHI S.R.L.
9766898B31;2023-04-24;PROCEDURA APERTA, AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016 E SS.MM.II., PER L'ASSEGNAZIONE DELLA FORNITURA QUINQUENNALE DI UN SISTEMA DIAGNOSTICO IN BIOLOGIA MOLECOLARE OCCORRENTE ALLA S.C. MICROBIOLOGIA DELLA ASST OVEST MILANESE.;14615250;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;CEPHEID S.R.L.
B4985648C8;2024-12-04;LOTTO 15: SISTEMA DI ASSISTENZA VENTRICOLARE SINISTRA TEMPORANEO PERCUTANEO (PVAD) PER IL TRATTAMENTO DELLO SHOCK CARDIOGENO;14280000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B489AD8AE7;2024-12-02;SISTEMI PER INIEZIONE MEZZO DI CONTRASTO IN RISONANZA MAGNETICA;13477800;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B489AD6941;2024-12-02;SISTEMI PER INIEZIONE MEZZO DI CONTRASTO IN DIAGNOSTICA CARDIOLOGICA;13211552;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9829291B86;2023-05-26;LOTTO 1: DIAGNOSTICHE SIEROLOGICHE VARIE CON SISTEMA MISTO IN CHEMILUMINESCENZA E IN IMMUNOENZIMATICA SU MICROPIASTRA IN AUTOMAZIONE CON STRUMENTAZIONE IN NOLEGGIO.;12755571;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ORTHO-CLINICAL DIAGNOSTICS ITALY S.R.L.
A02C36A79D;2023-11-24;LOTTO 1: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE, CON ENERGIA ESCLUSIVA A ULTRASUONI PER CHIRURGIA VIDEO ASSISTITA E OPEN (ULTRASUONI - STRUMENTI A STELO);12063600;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;MOVI SPA
B3202072D8;2024-09-23;LOTTO 3: SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL-RISK - APPARECCHIATURE PRODUTTORE PHILIPS;11552250;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE;PHILIPS S.P.A.
A02C3D3E41;2023-11-24;LOTTO 3: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE CON ENERGIA COMBINATA (ULTRASUONI/RADIOFREQUENZA) PER CHIRURGIA VIDEO ASSISTITA E OPEN (COMBINATO- STRUMENTI A STELO E/O FORBICI).;11496325;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;OLYMPUS ITALIA S.R.L.
9779942772;2023-05-12;LOTTO 14: PROTESI VALVOLARE BIOLOGICA PERICARDICA AORTICA E MITRALICA INTRANULARE E SOPRANULARE.;11009115;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;EDWARDS LIFESCIENCES ITALIA S.R.L.
A02C38F626;2023-11-24;LOTTO 2: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE CON TAGLIO A LAMA FREDDA, CON ENERGIA ESCLUSIVA A RADIOFREQUENZA PER CHIRURGIA VIDEO ASSISTITA E OPEN (RADIOFREQUENZA - STRUMENTI A STELO);10862600;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;AB MEDICA S.P.A.
B320205132;2024-09-23;LOTTO 1: SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL-RISK - APPARECCHIATURE PRODUTTORE SIEMENS HEALTHCARE;10676350;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE;
B49855B15D;2024-12-04;LOTTO 6: SISTEMA DI MAPPAGGIO ELETTROANATOMICO ED ABLAZIONE TRANS-CATETERE DELLA TACHICARDIA DA RIENTRO NODALE;10304000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B4985637F5;2024-12-04;LOTTO 14: SISTEMA DI RIPARAZIONE PERCUTANEA DELL'INSUFFICIENZA DELLA VALVOLA MITRALICA CON TECNICA EDGE TO EDGE;9800000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9876372002;2023-06-27;LOTTO 5 - SUTURATRICI LINEARI LAPAROSCOPICHE MONOUSO ARTICOLABILE CON UNA MANO NA BATTERIA TAGLIA E CUCI CON MANIPOLO CON LAMA INTEGRATA;8567031;PROCEDURA APERTA;MATERIALE PER SUTURE CHIRURGICHE;MOVI SPA
B498556D39;2024-12-04;LOTTO 1: CATETERE A PALLONCINO DA LITOTRISSIA;6765780;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9739409E8C;2023-03-28;ASST OVEST MILANESE - ADESIONE CONVENZIONE PER LA FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI AI SENSI DELL'ARTICOLO 26, LEGGE 23 DICEMBRE 1999 N. 488 E S.M.I. E DELL'ARTICOLO 58, LEGGE 23 DICEMBRE 2000 N. 388 - EDIZIONE 20 - LOTTO 2 - PERIODO GIUGNO 2023 M;6600000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;A2A ENERGIA S.P.A.
B498568C14;2024-12-04;LOTTO 19: SISTEMA PER OCCLUSIONE DELL'AURICOLA SINISTRA;6069000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A050BDE5F2;2024-02-23;ASST OVEST MILANESE - ADESIONE CONVENZIONE PER LA FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI AI SENSI DELL'ARTICOLO 26, LEGGE 23 DICEMBRE 1999 N. 488 E S.M.I. E DELL'ARTICOLO 58, LEGGE 23 DICEMBRE 2000 N. 388 - EDIZIONE 20 - LOTTO 2 - PERIODO GIUGNO 2024 M;6000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;A2A ENERGIA S.P.A.
9678257E52;2023-03-10;INDIZIONE DI PROCEDURA APERTA, AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016 E SS.MM.II., PER L'ASSEGNAZIONE DELLA FORNITURA QUINQUENNALE DI UN SISTEMA ANALITICO PER INDAGINI DI CITOFLUORIMETRIA A FLUSSO A COLORI MULTIPLI E RELATIVI CONSUMABILI - GARA AGGREGATA TRA LA ASST OVEST MILANESE (CAPOFILA) E LA ;5550000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;BECTON, DICKINSON ITALIA S.P.A.
9876324863;2023-06-27;LOTTO 1 -- SUTURATRICI LINEARI LAPAROSCOPICHE MECCANICHE TAGLIA E CUCI CON MANIPOLO CON LAMA INTEGRATA NELLO STELO ARTICOLABILE CON UNA MANO;5279656;PROCEDURA APERTA;MATERIALE PER SUTURE CHIRURGICHE;MOVI SPA
B498567B41;2024-12-04;LOTTO 18: DISPOSITIVO PER IL TRATTAMENTO DI CARDIOPATIE CONGENITE;5197500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B32020E89D;2024-09-23;LOTTO 10: SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL-RISK - APPARECCHIATURE PRODUTTORE GETINGE;5039810;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE;GETINGE ITALIA S.R.L.
97036465FF;2023-04-03;PROCEDURA NEGOZIATA IN APPLICAZIONE DELL'ART.63 COMMA 3 LETT.B D.LGS 50/16 PR IL RINNOVO SISTEMA PACS PER IL PERIODO 2023/2029;5029878;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI ASSISTENZA TECNICA INFORMATICA;
A01EFF6879;2023-11-03;PROCEDURA APERTA, EX ART. 71 DEL D.LGS. 36/2023, PER L'ASSEGNAZIONE DELLA FORNITURA QUINQUENNALE DI SISTEMI ANALITICI PER INDAGINI DI IMMUNOEMATOLOGIA ERITROCITARIA IN AUTOMAZIONE, CON METODO DI AGGLUTINAZIONE IN MICROCOLONNA, OCCORRENTI ALLA S.C. IMMUNOEMATOLOGIA E C.T. DELLA OVEST MILANESE;4810000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ORTHO-CLINICAL DIAGNOSTICS ITALY S.R.L.
B49856599B;2024-12-04;LOTTO 16: SISTEMA DI ASSISTENZA VENTRICOLARE SINISTRA TEMPORANEO PERCUTANEO (PVAD) PER ASSISTENZA EMODINAMICA DURANTE LE PROCEDURE DI RIVASCOLARIZZAZIONE CORONARICA AD ALTO RISCHIO;4704000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9780044B9D;2023-05-12;LOTTO 18: PROTESI VALVOLARE BIOLOGICA PERICARDICA AORTICA PREDISPOSTA PER SUCCESSIVA PROCEDURA DI TAVI VALVE IN VALVE.;4660902;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;EDWARDS LIFESCIENCES ITALIA S.R.L.
B20D267361;2024-06-12;SISTEMI ANALITICI COMPLETI PER DOSAGGIO DI FARMACI, ORMONI STEROIDEI, METABOLITI E ALTRI PARAMETRI DI INTERESSE CLINICO MEDIANTE CROMATOGRAFIA LIQUIDA AD ELEVATA PRESSIONE (HPLC) E CROMATOGRAFIA LIQUIDA ASSOCIATA A SPETTROMETRIA DI MASSA ACCOPPIATA (LC-MS/MS).;4620000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;WATERS S.R.L.
9887538E77;2023-06-30;PROCEDURA APERTA, IN FORMA TELEMATICA, PER L'AFFIDAMENTO DELLA FORNITURA QUINQUENNALE DI SISTEMA MONOUSO PER L'IGIENE PERSONALE DEL PAZIENTE DA DESTINARE ALLA ASST OVEST MILANESE;4566375;PROCEDURA APERTA;PRODOTTI COSMETICI;T & C S.R.L.
B498558EDF;2024-12-04;LOTTO 3: SISTEMA DI ECOGRAFIA INTRAVASCOLARE CORONARICA.;4508000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B35CC05955;2024-10-10;FORNITURA QUINQUENNALE DI UN SISTEMA DIAGNOSTICO AUTOMATIZZATO PER LA DIAGNOSI DI SEPSI OCCORRENTE ALLA S.C. LABORATORIO DI MICROBIOLOGIA DELLA ASST OVEST MILANESE.;4485000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;BECTON, DICKINSON ITALIA S.P.A.
B49856057C;2024-12-04;LOTTO 11: KIT PER PUNTURA DEL SETTO INTER-ATRIALE;4312000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A0057CF713;2023-08-25;LOTTO 3 - NEUROSTIMOLATORI RICARICABILI MRI COMPATIBILI A 16 POLI;4245750;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;MEDTRONIC ITALIA S.P.A.
A02C3DF82A;2023-11-24;LOTTO 5: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE CON ENERGIA ESCLUSIVA A ULTRASUONI, PER CHIRURGIA VIDEO ASSISTITA E OPEN. (ULTRASUONI - FORBICI).;4162500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;CARLO BIANCHI S.R.L.
B498566A6E;2024-12-04;LOTTO 17: DISPOSITIVO PER IL TRATTAMENTO DI CARDIOPATIE CONGENITE ED ACQUISITIVE;4095000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B489AD586E;2024-12-02;SISTEMI PER INIEZIONE MEZZO DI CONTRASTO IN RADIOLOGIA INTERVENTISTICA;4080000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B3650A7D0E;2024-10-10;FORNITURA DI STAMPATI;4000012;AFFIDAMENTO DIRETTO;STAMPATI SU ORDINAZIONE;INFOLIO SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA
95495000B3;2023-01-12;ADESIONE CONVENZIONE ARIA_2022_027.2 LOTTO 538;3767040;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9566599F39;2023-01-17;ADESIONE CONVENZIONE ARIA DENOMINATA ARCA_2018_062 LOTTO 1 KIT PROCEDURALI CHIRURGICI;3600000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALI MEDICI;
A058781D2B;2024-04-30;ADESIONE CONVENZIONE ARIA_2022_027.2/L538 KEYTRUDA;3472005;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
998943026B;2023-08-02;ESITO PROCEDURA APERTA MULTILOTTO, EX ART. 60 DEL D.LGS. 50/2016 E SS.MM.II., PER L'ASSEGNAZIONE DELLA FORNITURA QUINQUENNALE DI SISTEMI DIAGNOSTICI PER SIEROLOGIA OCCORRENTI ALLA S.C. MICROBIOLOGIA DELLA ASST OVEST MILANESE. - LOTTO 1;3437629;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DIAGNOSTICI;
98803892F0;2023-06-19;AD. CONV. ARIA_2021_025.3R/L1797;3425555;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B32E2789DA;2024-09-25;ADESIONE ALLA CONVENZIONE ARIA_2023_056 - LOTTO 5 - SOMMINISTRAZIONE LAVORO A TEMPO DETERMINATO;3392429;AFFIDAMENTO DIRETTO;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;GI GROUP S.P.A.
9779984A1A;2023-05-12;LOTTO 16: PROTESI VALVOLARE BIOLOGICA PERICARDICA AORTICA 'SUTURLESS' CON STENT DI ANCORAGGIO.;3380000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;CORCYM S.R.L.
B207613256;2024-06-10;GUIDA .035'' IDROFILICA LUNGH. DA 191 A 300 CM.;3378750;PROCEDURA APERTA;KIT SANITARI;
99521294A8;2023-07-11;ESITO PROCEDURA APERTA, EX ART. 60 DEL D.LGS. 50/2016 E SS.MM.II., PER L'ASSEGNAZIONE DELLA FORNITURA QUINQUENNALE DI UN SISTEMA DIAGNOSTICO IN BIOLOGIA MOLECOLARE OCCORRENTE ALLA S.C. MICROBIOLOGIA DELLA ASST OVEST MILANESE.;3362620;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DIAGNOSTICI;CEPHEID S.R.L.
A02C3D8265;2023-11-24;LOTTO 4: SISTEMI DI SINTESI SENZA FILI A ULTRASUONI, RADIOFREQUENZA O RADIOFREQUENZA/ULTRASUONI. (SISTEMA DI DISSEZIONE AD ULTRASUONI SENZA FILI - STRUMENTI A STELO).;3311000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;MEDTRONIC ITALIA S.P.A.
A04C987721;2024-01-29;ADESIONE CONVENZIONE ARIA_2023_011.16/L17;3260525;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A02C3EC2E6;2023-11-24;LOTTO 7: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE CON ENERGIA ESCLUSIVA A RADIOFREQUENZA TRIPOLARE, CON TAGLIO ELETTRICO, PER CHIRURGIA VIDEO ASSISTITA E OPEN (RADIOFREQUENZA TRIPOLARE - STRUMENTI A STELO).;3115000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;ERBE ITALIA S.R.L.
A00BFD2C5D;2023-09-28;PNRR - MISSIONE 6 SALUTE - M6.C1 - 1.1 CASE DELLA COMUNITÀ E PRESA IN CARICO DELLA PERSONA - CASA DI COMUNITA' DI VITTUONE - ADESIONE APPALTO INTEGRATO (LAVORI E SERVIZI DI PROGETTAZIONE)CUGGIONO' - SERVIZIO DI PROGETTAZIONE DEFINITIVA;2968510;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;GEMMO S.P.A. (SOCIETA' CON UNICO SOCIO)
A0169570B7;2023-10-18;LOTTO 35 GUIDINA DI PRESSIONE PER MISURAZIONE DI FFR;2898500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;EU KON S.R.L.
A016153359;2023-10-18;LOTTO 17 GUIDINA CORONARICA PER VASI TORTUOSI E SUB OCCLUSIONI;2873000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;ABBOTT MEDICAL ITALIA S.R.L.
B4DD191D95;2024-12-17;LOTTO 3 - SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL-RISK DI APPARECCHIATURE AD ALTO CONTENUTO TECNOLOGICO;2849998;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;PHILIPS S.P.A.
A0168C9B85;2023-10-18;LOTTO 24 PALLONCINO CORONARICO;2834750;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;INNOVA HTS S.R.L.
B20763700C;2024-06-10;DISPOSITIVO DI CHIUSURA ARTERIOSA PERCUTANEO SUTURO-MEDIATO;2826250;PROCEDURA APERTA;KIT SANITARI;
978000074F;2023-05-12;LOTTO 17: PROTESI VALVOLARE BIOLOGICA PERICARDICA AORTICA 'SUTURLESS'.;2821000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;EDWARDS LIFESCIENCES ITALIA S.R.L.
B3045C1294;2024-09-12;SERVIZIO DI SORVEGLIANZA ANTINCENDIO;2789330;AFFIDAMENTO DIRETTO;SERVIZI DI PREVENZIONE DEGLI INCENDI;ELISICILIA S.R.L.
985228284D;2023-06-16;LOTTO 33 - KIT OSSIGENANTI TRATTATI CON FILTRO INTEGRATO PER PAZIENTI ADULTI DI GROSSA TAGLIA COMPLETO DI SENSORI PER LA RILEVAZIONE DEI PARAMETRI EMOGAS-ANALITICI ED EMATICI ON-LINE;2753771;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;GADA ITALIA S.P.A.
A0168E202A;2023-10-18;LOTTO 25 PALLONCINO CORONARICO NON COMPLIANTE;2550000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;INNOVA HTS S.R.L.
9779353165;2023-05-12;LOTTO 5: PROTESI VASCOLARI RETTE A TECNOLOGIA IBRIDA CON BRANCHE LATERALI PRESUTURATE PER LA CHIRURGIA DELL'ARCO AORTICO E DELL'AORTA DISCENDENTE (ELEPHANT TRUNK TECHNIQUE);2527200;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;ARTIVION ITALY S.R.L.
9989750A7B;2023-08-11;ADESIONE ALLA CONVENZIONE CONSIP 'VALVOLE AORTICHE IMPIANTABILI PER VIA TRAN-CATETERE (TAVI) - LOTTO 1 - MEDTRONIC ITALIA SPA;2503500;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VALVOLE CARDIACHE;
A048C94B1F;2024-01-10;ADESIONE CONVENZIONE ARIA_2023_011.5/L19;2499246;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A05D1C458D;2024-07-15;ADESIONE ALLA CONVENZIONE ARIA_2023_041 LOTTO 1 SERVIZIO DI NUTRIZIONE ARTIFICIALE DOMICILIARE ENTERALE RTI VIVISOL S.R.L., MEDICAIR ITALIA S.R.L.;2484000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;
B498569CE7;2024-12-04;LOTTO 20: SISTEMA DI RIPARAZIONE PERCUTANEA DELL'INSUFFICIENZA DELLA VALVOLA TRICUSPIDE;2464000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
98763616EC;2023-06-27;LOTTO 4 - SUTURATRICI LAPAROSCOPICHE LINEARI TAGLIA E CUCI CON MANIPOLO UNIVERSALE CON RICARICA VARIABILE;2443750;PROCEDURA APERTA;MATERIALE PER SUTURE CHIRURGICHE;DAMBO S.R.L.
B2729E52E7;2024-07-15;INDIZIONE DI PROCEDURA APERTA, AI SENSI DELL'ART. 71 DEL D.LGS. N.36/2023, PER L'AGGIUDICAZIONE DELLA FORNITURA QUINQUENNALE DI REAGENTI E RELATIVI STRUMENTI PER LA RICERCA DI ANTIGENI BATTERICI E VIRALI OCCORRENTI ALLA S.C. MICROBIOLOGIA DELLA ASST OVEST MILANESE.;2366100;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;RELAB S.R.L.
98523017FB;2023-06-16;LOTTO 34 - KIT OSSIGENANTI TRATTATI CON FILTRO INTEGRATO PER PAZIENTI ADULTI DI GROSSA TAGLIA;2340000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;SORIN GROUP ITALIA SRL
976757490C;2023-05-03;MOD. 1 - KIT DI MOTORIZZAZIONE UNIVERSALE PER CARROZZINE - MODELLO MAGGIORATO ATTACCO CENTRALE;2265750;PROCEDURA APERTA;AUSILI PER DISABILI;MEDIA REHA S.R.L.
A0169BA269;2023-10-18;LOTTO 40 PALLONE CILINDRICO NON COMPLIANTE DA VALVULOPLASTICA AORTICA;2216800;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;BIOVER S.R.L.
B2076175A2;2024-06-10;GUIDA EXTRA STIFF .035;2210000;PROCEDURA APERTA;KIT SANITARI;
B3202083AB;2024-09-23;LOTTO 4: SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL-RISK - APPARECCHIATURE PRODUTTORE SAMSUNG;2198550;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE;ANDRA SPA
98923143C2;2023-06-30;PRODOTTI IN CARTA E PER LA DETERSIONE DELLE MANI;2187931;PROCEDURA APERTA;PRODOTTI PER LA PULIZIA;
A00D386ECD;2023-09-28;PNRR - MISSIONE 6 SALUTE - M6.C1 - OSPEDALE DI COMUNITA CUGGIONO ADESIONE APPALTO INTEGRATO;2170216;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;AR.CO. LAVORI SOCIETA' COOPERATIVA CONSORTILE
A0057CC49A;2023-08-25;LOTTO 2 - NEUROSTIMOLATORI NON RICARICABILI MRI COMPATIBILI A 16 POLI;2160000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;MEDTRONIC ITALIA S.P.A.
A011103CB0;2023-09-18;FORNITURA MICROINFUSORI GUARDIAN CONNECT ART 76 COMMA 2 LETT B;2159045;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;
B207636F34;2024-06-10;PLUG VASCOLARI;2125000;PROCEDURA APERTA;KIT SANITARI;
A02C3E6DEF;2023-11-24;LOTTO 6: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE CON TAGLIO A LAMA FREDDA, CON ENERGIA ESCLUSIVA A RADIOFREQUENZA, PER CHIRURGIA VIDEO ASSISTITA E OPEN. (RADIOFREQUENZA - FORBICI);2097500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;APPLIED MEDICAL DISTRIBUTION EUROPE B.V.
A0589748F6;2024-05-02;ADESIONE CONVENZIONE ARIA_2022_027.10/L07;2093815;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9664427973;2023-03-03;LOTTO 4: ENDOPROTESI VASCOLARE RIVESTITA IN PTFE SCHELETRO IN NITINOLO SENZA STENT LIBERO PROSSIMALE PER IL TRATTAMENTO DELLA PATOLOGIA DELL'AORTA ADDOMINALE. CONFIGURAZIONE BI FAB.;2050158;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;W.L. GORE & ASSOCIATI S.R.L.  CON SIGLA GORE S.R.L.
B320206205;2024-09-23;LOTTO 2: SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL-RISK - APPARECCHIATURE PRODUTTORE GE MEDICAL SYSTEMS;2044650;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE;GE MEDICAL SYSTEMS ITALIA S.P.A
