# Ospedali Trasparenti — contratti pubblici di AZIENDA USL DI IMOLA (ANAC)
# 1078 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B13BA3C777;2024-04-15;LAVORI DA ESEGUIRSI SU IMMOBILI IN USO A QUALSIASI TITOLO PRESSO L'AZIENDA USL DI IMOLA;5500000;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SOCIALI E SANITARI, CREMATORI E GABINETTI PUBBLICI;F.LLI FRANCHINI  S.R.L.
B0BEF153CF;2024-03-11;MULTISERVIZIO DI MANUTENZIONE DEGLI IMMOBILI DELLE AZIENDE SANITARIE DELLA REGIONE EMILIA ROMAGNA 2- LOTTO 1 AZIENDA USL IMOLA;5437800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;REKEEP S.P.A.
B0BEDB6228;2024-03-11;ORDINATIVO PER MULTISERVIZIO DI MANUTENZIONE DEGLI IMMOBILI IN USO ALLE AZIENDE SANITARIE DELL'EMILIA ROMAGNA 2-LOTTO1;5437800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;REKEEP S.P.A.
96095947D4;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - NOVARTIS FARMA SPA;4981081;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;NOVARTIS FARMA SPA
B2FF59BE93;2024-09-11;ORDINATIVO PER SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - LOTTI 1 - 2;3269531;AFFIDAMENTO DIRETTO;;THERAS LIFETECH S.R.L.
9610418FCE;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - VERTEX PHARMACEUTICALS ITALY SRL;2849634;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
96103041BF;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - TAKEDA SPA;2605403;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;TAKEDA ITALIA S.P.A.
9610101A37;2023-03-03;ADES CONV INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 JANSSEN CILAG S.P.A.;2572944;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
961042124C;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA ELI LILY;2565688;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ELI LILLY ITALIA - S.P.A.
9609851BE8;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - PFIZER SRL;2513921;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;PFIZER S.R.L.
A0549FFB29;2024-03-27;ADESIONE AD ACCORDO QUADRO CON UN UNICO OPERATORE ECONOMICO PER LA SOMMINISTRAZIONE DI LAVORO TEMPORANEO IN AVEC;2500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;RANDSTAD ITALIA S.P.A.
9610048E79;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA ASTRA ZENECA;2451678;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ASTRAZENECA S.P.A.
9610478156;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI BRISTOL MYERS SQUIBB SPA;2428303;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BRISTOL-MYERS SQUIBB S.R.L.
971114418C;2023-03-23;ADESIONE ACCORDO QUADRO STIPULATO DA INVITALIA PER SERVIZI DI INGEGNERIA E ARCHITETTURA PER EDIFICI SOTTOPOSTI A TUTELA PER L'INTERVENTO PNRR: CASA DELLA COMUNITA' DI IMOLA - II STRALCIO - MANUTENZIONE STAORDINARIA;2265115;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;ALFREDO CECCHINI SOCIETA A RESPONSABILITA LIMITATA
9957082BFE;2023-09-11;ADESIONE CONVENZIONE INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 2 - DITTA VERTEX PHARMACEUTICALS S.R.L.;2148000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
9610263FE5;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA BAYER SPA;2040332;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BAYER S.P.A.
96821055CD;2023-03-20;PN MATERIALE DI CONSUMO ROBOT DA VINCI XI IS4000 INTUITIVE 27.02.23-26.02.25 DITTA PACINOTTI;2000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;STUDIO PACINOTTI S.R.L.
B4FBDC8DD9;2024-12-23;ORDINATIVO PER MEDICINALI 2025-2027- 2 - NOVARTIS FARMA;1992264;AFFIDAMENTO DIRETTO;;NOVARTIS FARMA SPA
96100754C4;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - ROCHE SPA;1752166;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
96101556C8;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - SANOFI SRL;1694716;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;SANOFI S.R.L.
9609655A2A;2023-03-03;ADES CONV INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 GILEAD SCIENCES S.R.L.;1681866;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
A03CA2577F;2024-01-25;SERVIZIO DI ACCOMPAGNAMENTO E TRASPORTO PAZIENTI PRESSO OSPEDALE SANTA MARIA DELLA SCALETTA DI IMOLA;1645000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI TRASPORTO NON REGOLARE DI PASSEGGERI;CONSORZIO STABILE CMF
B350A3E05A;2024-10-04;ORDINATIVO PER MEDICINALI 2025-2027- 1 - GILEAD SCIENCES;1618670;AFFIDAMENTO DIRETTO;;GILEAD SCIENCES S.R.L.
97110904FB;2023-03-23;ADESIONE ACCORDO QUADRO STIPULATO DA INVITALIA PER SERVIZI DI INGEGNERIA E ARCHITETTURA PER EDIFICI SOTTOPOSTI A TUTELA PER L'INTERVENTO PNRR: OSPEDALE DI COMUNITA' DI CASTEL SAN PIETRO TERME - MANUTENZIONE STRAORDINARIA;1610162;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO INNOVA SOCIETA' COOPERATIVA
A045E4A832;2024-03-04;ADESIONE CONVENZIONE INTERCENTER MEDICINALI 2023-2025 BLUEPRINT MEDICINES (NETHERLANDS);1605000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
962987583D;2023-01-01;RETTE ED INTERVENTI EDUCATIVI DSM FRN DP NPA PRESSO STRUTTURE E COMUNITA': COMUNITA' SOLIDALE ALBATROS SAN GIORGI PAMBERA LA SOFFITTA;1500000;AFFIDAMENTO RISERVATO;VARI SERVIZI SANITARI;
B4DB08040E;2024-12-16;ORDINATIVO PER MEDICINALI 2025-2027- 2 - ALNYLAM ITALY;1451085;AFFIDAMENTO DIRETTO;;ALNYLAM ITALY S.R.L
B4EA079C29;2024-12-18;ORDINATIVO PER MEDICINALI 2025-2027- 2 - EUROMED PHARMA;1429642;AFFIDAMENTO DIRETTO;;EUROMED PHARMA S.R.L.
9610256A20;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - SWDISH ORPHAN BIOVITRUM SRL;1419812;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;SWEDISH ORPHAN BIOVITRUM S.R.L.
B4DB0A95E3;2024-12-16;ORDINATIVO PER MEDICINALI 2025-2027- 2 - ASTRAZENECA;1407632;AFFIDAMENTO DIRETTO;;ASTRAZENECA S.P.A.
9610445619;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA BOEHRINGER INGELHEIM;1355255;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BOEHRINGER INGELHEIM ITALIA - S.P.A.
A04D7A3BD7;2024-02-05;VERIFICA APPARECCHIATURE BIOMEDICA 60 MESI ALTHEA ITALIA SPA;1331785;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;ALTHEA ITALIA S.P.A.
B4F84BEBE6;2024-12-23;ORDINATIVO PER MEDICINALI 2025-2027- 2 - ISTITUTO GENTILI;1316909;AFFIDAMENTO DIRETTO;;ISTITUTO GENTILI S.R.L.
A00F4D7D28;2023-09-13;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARM 2023-2025 LOTTO 640 DITTA BIOGEN;1210000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BIOGEN ITALIA S.R.L.
955858490B;2023-01-12;SISTEMA ROBOTIZZATO DI AUSILIO ALL'ATTIVITA' CHIRURGICA;1200000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;TECNICA OPERATORIA;STUDIO PACINOTTI S.R.L.
A046131D55;2024-03-06;ADESIONE CONVENZIONE INTERCENTER MEDICINALI 2023-2025 DITTA TAKEDA ITALIA S.P.A.;1200000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B108CB5F64;2024-03-28;ORDINATIVO PER MEDICINALI 2024-2025 - TAKEDA ITALIA;1192257;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;TAKEDA ITALIA S.P.A.
99567119D6;2023-09-11;ADESIONE CONVENZIONE INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 2 - DITTA JANSSEN CILAG SPA;1156000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
987674971C;2023-05-15;CONVENZIONE AVIS 2023 - 2024;1100000;AFFIDAMENTO DIRETTO;VARI SERVIZI SANITARI;
B350D67BF2;2024-10-04;ORDINATIVO PER MEDICINALI 2025-2027- 1 - ASTRAZENECA;1043034;AFFIDAMENTO DIRETTO;;ASTRAZENECA S.P.A.
A045F3494C;2024-03-11;ADESIONE CONVENZIONE INTERCENTER MEDICINALI 2023-2025 BAYER S.P.A;1023000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BAYER S.P.A.
9610042987;2023-03-03;ADES CONV INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 IPSEN SOCIETA' PER AZIONI;1011831;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;IPSEN SOCIETA' PER AZIONI
B4076537B9;2024-10-28;RINNOVO BIENNALE GAS MEDICALI DITTA RTI CER MEDICAL SAPIO LIFE E LINDE;1003946;AFFIDAMENTO DIRETTO;;LINDE MEDICALE SRL
A0636D9FEA;2024-10-18;RINNOVO MATERIALE DI CONSUMO ROBOT DA VINCI DITTA PACINOTTI 2024-2025;1000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;STUDIO PACINOTTI S.R.L.
B34E1BA11B;2024-10-04;ORDINATIVO PER ENERGIA ELETTRICA 18 LOTTO 1;959790;AFFIDAMENTO DIRETTO;;ALPERIA SMART SERVICES S.R.L.
9610160AE7;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA AMGEN SRL;943250;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;AMGEN S.R.L.
9651217438;2023-03-07;DEDALUS ADES CONV INTERCNTERE MANUT E ASS TECNICA SERV PROFESS SW AIN LICENZA D'USO 2;915876;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE;DEDALUS ITALIA S.P.A.
B4FD3B2361;2024-12-23;ORDINATIVO PER MEDICINALI 2025-2027- 2 - VIATRIS ITALIA S.R.L.;882079;AFFIDAMENTO DIRETTO;;VIATRIS ITALIA S.R.L.
B4F77D8702;2024-12-23;ORDINATIVO PER MEDICINALI 2025-2027- 2 - GRIFOLS ITALIA;875842;AFFIDAMENTO DIRETTO;;GRIFOLS ITALIA S.P.A.
9829183269;2023-07-18;PROCEDURA APERTA INDETTA DA INVITALIA PER LA CONCLUSIONE DI ACCORDI QUADRO CON PIU' OPERATORI ECONOMICI PER L'AFFIDAMENTO DI LAVORI (OG1-OG11) E SERVIZI DI INGEGNERIA E ARCHITETTURA PER LA NUOVA EDIFICAZIONE, RISTRUTTURAZIONE E RIQUALIFICAZIONE EDIFICI PUBBLICI QUALI CASE DELLA COMUNITA' OSPEDALI DE;874834;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;AS COSTRUZIONI S.R.L. UNIPERSONALE
B4D4A0FA7E;2024-12-16;ORDINATIVO PER SERVIZIO DI RACCOLTA, TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DA ATTIVITA' SANITARIE DELLE AZIENDE SANITARIE DELLA REGIONE EMILIA ROMAGNA 5 - LOTTO 4;873176;AFFIDAMENTO DIRETTO;;ECO ERIDANIA SOCIETA' PER AZIONI
B35127F00E;2024-10-04;ORDINATIVO PER SERVICE NUTRIZIONE ENTERALE DOMICILIARE 3 - RTI LGR NIPPON - LOTTI 1 E 2;864478;AFFIDAMENTO DIRETTO;;LGR MEDICAL SERVICES SOCIETA' A RESPONSABILITA' LIMITATA
A046072FB6;2024-03-06;ADESIONE CONVENZIONE INTERCENTER MEDICINALI 2023-2025 DITTA VIIV HEALTHCARE S.R.L.;863000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VIIV HEALTHCARE S.R.L.
B1096D7C08;2024-03-28;ORDINATIVO PER MEDICINALI 2024-2025 - VIIV HEALTHCARE;860010;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VIIV HEALTHCARE S.R.L.
A046330309;2024-03-06;ADESIONE CONVENZIONE INTERCENTER MEDICINALI 2023-2025 DITTA SANOFI S.R.L.;860000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;SANOFI S.R.L.
99564599E1;2023-09-25;ADESIONE CONVENZIONE INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 2 - DITTA NOVARTIS FARMA SPA;857000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;NOVARTIS FARMA SPA
B108473EDD;2024-03-28;ORDINATIVO PER MEDICINALI 2024-2025 - SANOFI;856530;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SANOFI S.R.L.
B2FF7AB24F;2024-09-11;ORDINATIVO PER SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - LOTTO 3;838968;AFFIDAMENTO DIRETTO;;MOVI SPA
9610203E62;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2025-2025 DITTA ASTELLAS PHARMA SPA;815610;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ASTELLAS PHARMA S.P.A.
999501534E;2023-07-28;ADESIONE CONVENZIONI INTERCENT-ER PER LA PROCEDURA NEGOZIATA FORNITURA DI FARMACI DEL FATTORE VIII RICOMBINANTE DI 3A GENERAZIONE. TAKEDA ITALIA SPA 25.07.2023 - 31.12.2025;815000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;TAKEDA ITALIA S.P.A.
9610552E63;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DAIICHI SANKYO;801928;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
B4F9BC7E41;2024-12-23;ORDINATIVO PER MEDICINALI 2025-2027- 2 - ROCHE;782583;AFFIDAMENTO DIRETTO;;ROCHE SOCIETA' PER AZIONI
96830143EF;2023-02-28;ADESIONE CONVENZIONE INTERCENTER FARMACI BIOSIMILARI DITTA TECHDOW PHARMA ITALY;763000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;TECHDOW PHARMA ITALY S.R.L.
B3001777F8;2024-09-11;ORDINATIVO PER SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - LOTTI 1 -3 - 4;759054;AFFIDAMENTO DIRETTO;;MEDTRONIC ITALIA S.P.A.
B2FF6568E6;2024-09-11;ORDINATIVO PER SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - LOTTI 1 - 2;758802;AFFIDAMENTO DIRETTO;;ROCHE DIABETES CARE ITALY S.P.A.
9953626804;2023-07-17;ADESIONE A CONVENZIONE INTERCENT-ER FACCHINAGGIO E TRASLOCO 6;755000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;COOPSERVICE SOCIETA' COOPERATIVA PER AZIONI ABBREVIABILE IN COOPSERVICE S.COOP.P.A.
9610295A4F;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA BIOGEN ITALIA;743839;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BIOGEN ITALIA S.R.L.
9610340F70;2023-03-03;ADES CONV INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 MERCK SERONO S.P.A.;742926;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MERCK SERONO S.P.A.
B29DC5DDDB;2024-07-26;FORNITURA DI SERVIZI APPLICATIVI PER L'AREA CARTELLA CLINICA E AMBULATORIALE AUSL DI IMOLA PNNR DEA 1 LIVELLO;741909;AFFIDAMENTO DIRETTO;APPARECCHIATURE INFORMATICHE E FORNITURE;ENGINEERING - INGEGNERIA INFORMATICA - S.P.A.
9997945537;2023-07-30;ADESIONE INTERCENTER FARMACI FATTORE VIII RICOMBINANANTE DITTA CLS BEHRING;730000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;CSL BEHRING SPA
A046238660;2024-03-06;ADESIONE CONVENZIONE INTERCENTER MEDICINALI 2023-2025 DITTA NOVO NORDISK SOCIETA' PER AZIONI;720000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;NOVO NORDISK SOCIETA' PER AZIONI
B0C3BAC803;2024-03-11;ORDINATIVO PER MEDICINALI 2024-2025 - NOVO NORDISK;716040;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVO NORDISK SOCIETA' PER AZIONI
9610398F4D;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - UCB PHARMA SPA;698309;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;UCB PHARMA S.P.A.
9867568EB3;2023-06-08;4 DIAGNOSTICHE DIGITALI DIRETTE RADIOLOGIA;696433;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI RADIOLOGICI;CARESTREAM HEALTH ITALIA S.R.L.
9609720FCC;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - NOVO NORDISK SPA;684908;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;NOVO NORDISK SOCIETA' PER AZIONI
99443522E0;2023-09-22;SERVICE LAVAPADELLE DET SAAV 1454 2023;682400;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER LA STERILIZZAZIONE, LA DISINFEZIONE E L'IGIENE;STEELCO S.P.A.
B33BBB3D7F;2024-09-30;ORDINATIVO PER PACEMAKER E DEFIBRILLATORI IMPIANTABILI 3 - MEDTRONIC;651245;AFFIDAMENTO DIRETTO;;MEDTRONIC ITALIA S.P.A.
A05480057A;2024-03-26;PA DISPOSITIVI MEDICI PER ENDOSCOPIA DITTA COOK ITALIA 2027;643000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;COOK ITALIA S.R.L.
B4F3395230;2024-12-23;ORDINATIVO PER MEDICINALI 2025-2027- 2 - SANOFI;642683;AFFIDAMENTO DIRETTO;;SANOFI S.R.L.
B4EEE778A1;2024-12-21;ORDINATIVO PER MEDICINALI 2025-2027- 2 - SANOFI;642683;AFFIDAMENTO DIRETTO;;SANOFI S.R.L.
B350585AA4;2024-10-04;ORDINATIVO PER MEDICINALI 2025-2027- 1 - DAIICHI SANKYO ITALIA;642178;AFFIDAMENTO DIRETTO;;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
A02573C1CF;2023-10-31;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARM 2023-2025 2 DITTA VIIV LOTTI 402 E 409;600000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VIIV HEALTHCARE S.R.L.
9711019A62;2023-03-23;ACCORDO QUADRO STIPULATO DA INVITALIA PER LAVORI E SERVIZI DI INGEGNERIA E ARCHITETTURA PER EDIFI SOTTOPOSTI A TUTELA PER INTERVENTO DEL PNRR: CASA DELLA COMUNITA' DI MEDICINA - MANUTENZIONE STRAORDINARIA;595532;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO INNOVA SOCIETA' COOPERATIVA
B3FEC3F5A2;2024-10-25;GESTIONE COMUNITA' DIURNA PER DSM.;595000;AFFIDAMENTO DIRETTO;;COOP. STELLA SOCIETA' COOPERATIVA SOCIALE
A05C08F26F;2024-06-03;PA DISPOSITIVI MEDICI PER ENDOSCOPIA DITTA EUROMEDICAL 2027;575000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;EUROMEDICAL - S.R.L.
9609779081;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 23-25 DITTA ABBVIE;567205;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ABBVIE S.R.L.
A0547FA088;2024-03-26;PA DISPOSITIVI MEDICI PER ENDOSCOPIA DITTA BOSTON SCIENTIFIC 2027;560000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;BOSTON SCIENTIFIC SPA
A05C057438;2024-06-03;PA DISPOSITIVI MEDICI PER ENDOSCOPIA DITTA BOSTON SCIENTIFIC SPA 2027;557000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;BOSTON SCIENTIFIC SPA
9610027D25;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA ALEXION;551814;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B20324915D;2024-06-06;ORDINATIVO PER MEDICINALI 2024-2025 - 2 - HANSA BIOPHARMA;550193;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
96479414C7;2023-03-09;ADES CONV.INTERC.SERVIZI DI MANUTENZIONE, ASSISTENZA TECNICA E SERVIZI PROFESSIONALI DEGLI APPLICATIVIA -2' DITTA DATA PROCESSING AZIENDA USL DI IMOLA - DITTA SOFTECH S.R.L. - PERIODO 01.01.2023 - 31.12.2025;542216;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE;DATA PROCESSING - SOCIETA' PER AZIONI
9956848AE4;2023-09-11;ADESIONE CONVENZIONE INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 2 - DITTA ROCHE S.P.A.;541000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
