# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE CROTONE (ANAC)
# 3523 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B0D45DC23A;2024-03-15;ONASEMNOGENE ABEPARVOVECSOLUZIONE PER INFUSIONE8,3 ML;4550133;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B8B8CC65A8;2025-10-21;CLADRIBINACOMPRESSE10 MG;3288416;AFFIDAMENTO DIRETTO;;MERCK SERONO S.P.A.
B6A6D5A4F1;2025-04-29;SISTEMI DI MONITORAGGIO IN CONTINUO DEL GLUCOSIO DI TIPO ISSCGM (INTERMITTENTLY SCANNED CGM);3105000;AFFIDAMENTO DIRETTO;;ABBOTT S.R.L.
B42A35B4F8;2024-11-07;VACCINO HERPES ZOSTER;2724040;AFFIDAMENTO DIRETTO;VACCINI;GLAXOSMITHKLINE S.P.A.
B10E45922E;2024-04-01;NIVOLUMABFIALE24 ML (10 MG/ML);2682524;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
9732234D8D;2023-06-15;LAVORI DI REALIZZAZIONE OSPEDALE DI COMUNITA' NEL COMUNE DI MESORACA;2508955;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO STABILE SINERGICA S.C.A R.L.
B10E45C4A7;2024-04-01;PEMBROLIZUMABFIALE100 MG (25 MG/ML);2492113;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MERCK SHARP & DOHME ITALIA S.P.A.
B0B5EC1959;2024-03-07;CATRIDECACOG (FATTORE XIII DI COAGULAZIONE, RICOMBINANTE)FLACONE2.500 U.I.;2469759;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVO NORDISK SOCIETA' PER AZIONI
B0F902A7B5;2024-03-25;VENETOCLAXCOMPRESSE100 MG;2363229;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBVIE S.R.L.
B907EDA2A5;2025-11-10;FORNITURA DI BUONI PASTO SOSTITUTIVI DEL SERVIZIO MENSA;2216002;AFFIDAMENTO DIRETTO;BUONI PASTO;E.P. - SOCIETA' PER AZIONI
B6A67017F2;2025-04-29;MICROINFUSORE PER INFUSIONE CONTINUA DI INSULINA CON SISTEMA INTEGRATO DI MONITORAGGIO IN CONTINUO DEL GLUCOSIO COMPLETO DI MATERIALE DI CONSUMO;2105880;AFFIDAMENTO DIRETTO;;MEDTRONIC ITALIA S.P.A.
B20A919D6D;2024-06-11;AFFIDAMENTO <A>DEI SERVIZI INTEGRATI DI VIGILANZA ARMATA, SERVIZI FIDUCIARI E ALTRI SERVIZI AGGIUNTIVI PRESSO LE STRUTTURE DELL'ASP DI CROTONE</A>.;1864747;PROCEDURA APERTA;SERVIZI DI SICUREZZA;SICURTRANSPORT S.P.A
B24D07E7E9;2024-07-01;DIGITALIZZAZIONE DEL DEA DI PRIMO LIVELLO DELL'ASP DI CROTONE - PNRR M6C2 1.1.1 - EVOLUZIONE SIO;1848123;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;Operatore individuale (persona fisica)
9732300407;2023-06-15;LAVORI DI REALIZZAZIONE CASA DELLA COMUNITA' COMUNE DI CROTONE;1827830;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO STABILE SINERGICA S.C.A R.L.
B10E6D5F02;2024-04-02;INTERFERONE GAMMA 1BFIALE0,5 ML (0,1 MG/ML);1760399;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;CLINIGEN IRELAND LIMITED
B30CEA8C44;2024-09-16;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 21 LOTTO 15;1731000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B10E2FF4A6;2024-03-30;NILOTINIB CLORIDRATOCAPSULE200 MG;1686265;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B8EC116723;2025-11-03;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 22 LOTTO 15;1600000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B905D5595F;2025-11-10;ADESIONE ACCORDO QUADRO CONSIP ENERGIA ELETTRICA 22 LOTTO 15;1600000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B8FADEB7C5;2025-11-06;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 22 LOTTO 15;1600000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B8FA535784;2025-11-06;ADESIONE CONNVEZIONE CONSIP ENERGIA ELETTRICA 22 LOTTO 15;1600000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B933865418;2025-11-20;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 22 LOTTO 15;1600000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B925EAD949;2025-11-18;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 22 LOTTO 15;1600000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B0B5CD96A4;2024-03-07;EPTACOG ALFA ATTIVATO (FATTORE VII DI COAGULAZIONE DA DNA RICOMBINANTE)FLACONE8 MG (400.000 U.I.);1537788;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVO NORDISK SOCIETA' PER AZIONI
97321296E9;2023-06-05;LAVORI DI REALIZZAZIONE CASA DELLA COMUNITA' COMUNE DI CACCURI;1500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO STABILE SINERGICA S.C.A R.L.
B9669CBDF2;2025-12-03;FORNITURA DI N. 1 RISONANZA MAGNETICA P.O. KR;1499378;AFFIDAMENTO DIRETTO;APPARECCHIATURE PER IMMAGINOGRAFIA A RISONANZA MAGNETICA;PHILIPS S.P.A.
B0D20C6786;2024-03-14;ECULIZUMABFIALE30 ML (10 MG/ML);1459240;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B8759187D7;2025-10-01;ELIGLUSTAT 84 MG;1442357;AFFIDAMENTO DIRETTO;;SANOFI S.R.L.
9732193BB8;2023-06-15;LAVORI DI REALIZZAZIONE CASA DELLA COMUNITA' COMUNE DI CIRO' MARINA;1400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO STABILE SINERGICA S.C.A R.L.
9711339277;2023-06-16;LAVORI DI REALIZZAZIONE CASA DELLA COMUNITA' COMUNE DI VERZINO - PNRR;1400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO STABILE SINERGICA S.C.A R.L.
973226899D;2023-06-05;LAVORI DI REALIZZAZIONE CASA DELLA COMUNITA' COMUNE DI ISOLA CAPO RIZZUTO;1400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO STABILE SINERGICA S.C.A R.L.
B10B0DF758;2024-03-29;ARIPIPRAZOLOFIALE400 MG/2 ML;1389752;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;OTSUKA PHARMACEUTICAL ITALY S.R.L.
B855A5CF2B;2025-09-22;FORNITURA ANNUALE REAGENTI_ SEZ. IMMUNOENZIMATICA;1376653;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;ABBOTT S.R.L.
B42BA4C386;2024-11-07;VACCINO ANTIMENINGOCOCCO B;1366698;AFFIDAMENTO DIRETTO;VACCINI;GLAXOSMITHKLINE S.P.A.
B1983D3CFE;2024-05-09;BUONI PASTO;1331904;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PLUXEE ITALIA SRL
B197FBAB55;2024-05-09;BUONI PASTO;1331904;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PLUXEE ITALIA SRL
B0F8D1C263;2024-03-25;IXEKIZUMABSIRINGA1 ML (80 MG/ML);1329169;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
B74B5C3A55;2025-06-17;APREMILASTCOMPRESSE RIVESTITE30 MGCOMPRESSA;1296360;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;AMGEN S.R.L.
B0AFB6E255;2024-03-06;INOTUZUMAB OZOGAMICINAPOLVERE PER SOLUZIONE1 MG;1281350;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PFIZER S.R.L.
B196330E3A;2024-05-08;ADESIONE CONVENZIONE CONSIP RETI LOCALI 8 - ID SIGEF 2223 LOTTO2;1281318;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B10E462999;2024-04-01;ATEZOLIZUMABFLACONE20 ML (60 MG/ML);1269446;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ROCHE S.P.A. - SOCIETA UNIPERSONALE
B0F8936ACD;2024-03-25;RISANKIZUMABSIRINGA PRERIEMPITA1 ML (150 MG/ML);1235330;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBVIE S.R.L.
B74A288BBE;2025-06-16;LUSPATERCEPT POLVERE PER SOLUZIONE INIETTABILE75 MGFLACONE;1221514;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;BRISTOL-MYERS SQUIBB S.R.L.
B100BDFDC9;2024-03-27;RANIBIZUMABSIRINGA1 ML (10 MG/ML);1212680;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B0AF3F9AF7;2024-03-06;PALBOCICLIBCOMPRESSE RIVESTITE125 MG;1209600;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PFIZER S.R.L.
B0F9717ED3;2024-03-25;BRODALUMABSIRINGA PRERIEMPITA1,5 ML (140 MG/ML);1169804;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;LEO PHARMA S.P.A.
B10E3B4A02;2024-04-01;DARATUMUMABFLACONE20 ML (20 MG/ML);1168892;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN-CILAG SPA
B10E3B392F;2024-04-01;DARATUMUMABFLACONE15 ML (120 MG/ML);1168892;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN-CILAG SPA
B74D819015;2025-06-17;ELEXACAFTOR/TEZACAFTOR/IVACAFTORCOMPRESSE RIVESTITE100 MG + 50 MG + 75 MGCOMPRESSA;1148843;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B0F8E4142D;2024-03-25;OSIMERTINIBCOMPRESSE80 MG;1131087;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ASTRAZENECA S.P.A.
B0F9300ED0;2024-03-25;SECUKINUMABPENNA PRERIEMPITA300 MG;1062352;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B10E5D4AEE;2024-04-02;ENZALUTAMIDECOMPRESSE40 MG;1051271;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B7D845D8B0;2025-07-31;LOTTO 1 TRATTAMENTO DI DIALISI EXTRA-CORPOREA;1043868;AFFIDAMENTO DIRETTO;APPARECCHI PER EMODIALISI;B. BRAUN MILANO SPA
B42B72E0FF;2024-11-07;VACCINO PAPILLOMA VIRUS;1033200;AFFIDAMENTO DIRETTO;VACCINI;MSD ITALIA S.R.L.
B10E3766D9;2024-03-31;IBRUTINIBCOMPRESSE RIVESTITE420 MG;1031269;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN-CILAG SPA
B74A6A8331;2025-06-16;ALIROCUMABSOLUZIONE INIETTABILE 300 MGPENNA;1025934;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;SANOFI S.R.L.
B74D6FE689;2025-06-17;IVACAFTORCOMPRESSE150 MG COMPRESSA;1018914;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B58677100E;2025-02-06;EPOETINASOLUZIONE INIETTABILE U.I.U.I.;1017030;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;SANDOZ S.P.A.
B0DBE4824C;2024-03-18;RAMUCIRUMABFIALE50 ML (10 MG/ML);997500;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
B7D81417CF;2025-07-31;LOTTO 1 TRATTAMENTO DI DIALISI EXTRA-CORPOREA;920301;AFFIDAMENTO DIRETTO;APPARECCHI PER EMODIALISI;FRESENIUS MEDICAL CARE ITALIA SPA
B11039048F;2024-04-02;CANAKINUMABFIALE150 MG;900623;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
A04D47E38B;2024-01-30;MIGRAZIONE DI SERVIZI DIGITALI AZIENDALI VERSO IL POLO STRATEGICO NAZIONALE (PSN) - APPROVAZIONE PROGETTO DEL PIANO DEI FABBISOGNI E AUTORIZZAZIONE STIPULA CONTRATTO DI ADESIONE - PIANO NAZIONALE DI RIPRESA E RESILIENZA M1 C1 INVESTIMENTO 1.1 E 1.2 'INFRASTRUTTURE DIGITALI' E 'ABILITAZIONE AL CLOUD ;892193;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;
B0FB3C272B;2024-03-26;NUSINERSENSOLUZIONE INIETTABILE5 ML (2,4 MG/ML);881582;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BIOGEN ITALIA S.R.L.
B1103DB274;2024-04-02;SECUKINUMABPENNA150 MG;871674;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
A02ED1E1BC;2024-01-05;DIALISI PERITONEALE MANUALE (CAPD) TRATTAMENTO DA 2,5 LITRI;863696;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER EMODIALISI;FRESENIUS MEDICAL CARE ITALIA SPA
B42B675852;2024-11-07;VACCINO PNEUMOCOCCICO QUINDICIVALENTE;850750;AFFIDAMENTO DIRETTO;VACCINI;MSD ITALIA S.R.L.
B10E4618C6;2024-04-01;AVELUMABFLACONE10 ML (20 MG/ML);848547;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B42B9271BC;2024-11-07;VACCIONO ANTIMENINGOCOCCO B;820019;AFFIDAMENTO DIRETTO;VACCINI;PFIZER ITALIA S.R.L.
A000474D91;2023-08-01;ADESIONE AQ PER ACQUISTO TAC PER UOC RADIOLOGIA DEL P.O. DI CROTONE;800000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER TOMOGRAFIA;
B10E4726CE;2024-04-01;BLINATUMOMABPOLVERE38,5 MCG;799849;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;AMGEN S.R.L.
B132F96CE2;2024-04-10;BUONI PASTO;778176;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PLUXEE ITALIA SRL
B6A6652788;2025-04-29;MICROINFUSORE PER INFUSIONE CONTINUA DI INSULINA CON SISTEMA INTEGRATO DI MONITORAGGIO IN CONTINUO DEL GLUCOSIO COMPLETO DI MATERIALE DI CONSUMO;758640;AFFIDAMENTO DIRETTO;;THERAS LIFETECH S.R.L.
B1106A607E;2024-04-02;RISANKIZUMABPENNA PRERIEMPITA1 ML (150 MG/ML);750580;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBVIE S.R.L.
B5B3E44B63;2025-02-19;FORNITURA REATTIVI SEZIONE IMMUNOENZIMATICA;749734;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;ABBOTT S.R.L.
B87E1BEBE5;2025-10-03;LANADELUMABSIRINGA PRERIEMPITA2 ML 150 MG/ML;743715;AFFIDAMENTO DIRETTO;;TAKEDA ITALIA S.P.A.
A019E12470;2023-10-27;ADESIONE ACCORDO QUADRO PER FORNITURA DI N. 9 ECOTOMOGRAFI ASP CROTONE;738000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI RADIOLOGICI;
B7DC3F5360;2025-08-01;LOTTO 9 SUBLOTTO 4.2 EMODIAFILTRAZIONE CON REINFUSIONE ENDOGENA - HFR SUPRA;728328;AFFIDAMENTO DIRETTO;MATERIALE DI CONSUMO NEFROLOGICO;B. BRAUN MILANO SPA
B0FEF40F5A;2024-03-26;DARUNAVIR/COBICISTAT/EMTRICITABINA/TENOFOVIR ALAFENAMIDECOMPRESSE800 MG + 150 MG + 200 MG + 10 MG;725721;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN CILAG S.P.A.
B0EDC74A5A;2024-03-21;APALUTAMIDECOMPRESSE60 MG;716161;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN CILAG S.P.A.
B24E156E47;2024-07-02;PNRR - M6C2 1.1.1 DIGITALIZZAZIONE DEA ASP CROTONE - CYBERSECURITY;713400;AFFIDAMENTO DIRETTO;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;FASTWEB SPA
B855D78011;2025-09-22;FORNITURA ANNUALE REAGENTI DIAGNOSTICI SEZ_CHIMICA_CLINICA;713186;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;ROCHE DIAGNOSTICS S.P.A.
B0F92C3C7A;2024-03-25;SECUKINUMABSIRINGA150 MG;708235;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B0F933AEAD;2024-03-25;SECUKINUMABSIRINGA300 MG;708235;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B0D5CBD393;2024-03-15;ABATACEPTFIALE250 MG;694285;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BRISTOL-MYERS SQUIBB S.R.L.
B0D601237E;2024-03-15;ABATACEPTSIRINGA125 MG/ML;693874;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BRISTOL-MYERS SQUIBB S.R.L.
B10FDB4EB5;2024-04-02;VEDOLIZUMABFIALE300 MG;692664;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;TAKEDA ITALIA S.P.A.
B74AFD1259;2025-06-17;TENOFOVIR ALAFENAMIDE COMPRESSE25 MGCOMPRESSA;691641;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;GILEAD SCIENCES S.R.L.
B877165593;2025-10-01;FINGOLIMOD CLORIDRATO0,5 MG;682717;AFFIDAMENTO DIRETTO;;DR. REDDY'S S.R.L.
B0F9708276;2024-03-25;SONIDEGIBCAPSULE200 MG;676200;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SUN PHARMA ITALIA SRL
B10E4A2E68;2024-04-01;SACITUZUMAB GOVITECANPOLVERE PER SOLUZIONE200 MG;671444;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;GILEAD SCIENCES S.R.L.
9761125F28;2023-03-07;FORNITURA ED INSTALLAZIONE DI N. 1 ANGIOGRAFO P.O. CROTONE;668485;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER ANGIOGRAFIA NUMERICA;
B89F3CB54F;2025-10-13;PONESIMODCOMPRESSE RIVESTITE20 MG;665915;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
A00B084B21;2023-08-30;ADESIONE AD APPALTO SPECIFICO N. 2 DELLA REGIONE CALABRIA PER LA FORNITURA DI VACCINI ALLE AZIENDE SANITARIE;664400;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VACCINI;GLAXOSMITHKLINE S.P.A.
A04AB20067;2024-01-24;ETANERCEPT 1MLSIR - 1ML PENN - 0,50SIR (LOTTO 2 GARA REGIONALE A,B,C);656250;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BIOGEN ITALIA S.R.L.
B0F8A14203;2024-03-25;USTEKINUMABFLACONE45 MG;652291;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B10FF0FD10;2024-04-02;OCRELIZUMABFLACONE10 ML (30 MG/ML);651789;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ROCHE S.P.A. - SOCIETA UNIPERSONALE
B0F8D804E8;2024-03-25;IXEKIZUMABPENNA1 ML (80 MG/ML);638001;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
B8716EAADB;2025-09-30;SERVIZIO DI OSSIGENOTERAPIA DOMICILIARE E FORNITURA DI CONCENTRATORI PER PAZIENTI AFFETTI DA IRC;635100;AFFIDAMENTO DIRETTO;;LINDE MEDICALE SRL
B89F5527F8;2025-10-13;TRIENTINACAPSULE RIGIDE200 MG;631995;AFFIDAMENTO DIRETTO;;ETHYPHARM ITALY S.R.L.
B100B4E623;2024-03-27;RANIBIZUMABFIALE0,23 ML (10 MG/ML);606340;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B10E3AA1C4;2024-04-01;ENTRECTINIBCAPSULE200 MG;599828;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ROCHE S.P.A. - SOCIETA UNIPERSONALE
B10E46E382;2024-04-01;IPILIMUMABFIALE200 MG;597828;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B42AF173F3;2024-11-07;VACCINO VIVO ANTI ROTAVIRUS;590400;AFFIDAMENTO DIRETTO;VACCINI;GLAXOSMITHKLINE S.P.A.
B7B9B391E2;2025-07-22;CENTRALI TELEFONICHE;588408;AFFIDAMENTO DIRETTO;APPARECCHIATURA DI RETE TELEFONICA;WIND TRE S.P.A.
B0BDC7A940;2024-03-08;ACIDO COLICOCAPSULE250 MG;584199;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;EUROMED S.R.L.
B101E5BEC1;2024-03-27;DESAMETASONEIMPIANTO700 MCG;573804;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBVIE S.R.L.
B0F8A95C74;2024-03-25;USTEKINUMABFLACONE90 MG;573443;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B0F970F83B;2024-03-25;FILGOTINIBCOMPRESSE RIVESTITE200 MG;560337;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;GALAPAGOS BIOPHARMA ITALY S.R.L.
B10E45F720;2024-04-01;DURVALUMABFLACONE10 ML (50 MG/ML);554068;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ASTRAZENECA S.P.A.
B42B561490;2024-11-07;VACCINO PNEUMOCOCCICO VENTIVALENTE;547350;AFFIDAMENTO DIRETTO;VACCINI;PFIZER ITALIA S.R.L.
B1100068E6;2024-04-02;PEGCETACOPLANSOLUZIONE PER INFUSIONE20 ML (54 MG/ML);539325;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SWEDISH ORPHAN BIOVITRUM S.R.L.
B9C9300B5E;2025-12-23;ADESIONE DELLA ASP DI CROTONE AL LOTTO N. 1528 FARMACO ULTOMIRIS DELLA GARA REGIONE CALABRIAN. 9174620 REGINE CALABRIA;532714;AFFIDAMENTO DIRETTO;;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B0AF838BFC;2024-03-06;TEMSIROLIMUSFIALE30 MG;529473;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PFIZER S.R.L.
B74D56EC70;2025-06-17;BENRALIZUMABSIRINGA PRERIEMPITA1 ML (30 MG/ML)SIRINGA;526936;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;ASTRAZENECA S.P.A.
A015DC5464;2023-10-06;FORNITURA DI AUTOMEZZI DI SOCCORSO AVANZATO (AMBULANZE DI TIPO A) COMPLETE DI ALLESTIMENTO;526000;PROCEDURA APERTA;AMBULANZE;
B0F7F5EB3B;2024-03-25;BARICITINIBCOMPRESSE4 MG;525195;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
B0F8C49443;2024-03-25;DABRAFENIBCAPSULE75 MG;524580;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B0EB4EBA3D;2024-03-21;TEDUGLUTIDESIRINGA PRERIEMPITA5 MG;522746;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;TAKEDA ITALIA S.P.A.
B10E5A75CD;2024-04-02;PERTUZUMAB/TRASTUZUMABSOLUZIONE INIETTABILE10 ML (600 MG + 600 MG);521382;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ROCHE S.P.A. - SOCIETA UNIPERSONALE
B74A729DA2;2025-06-16;INCLISIRAN SIRINGA PRERIEMPITA1,5 ML (189 MG/ML) SIRINGA;513698;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;NOVARTIS FARMA SPA
B74A58423A;2025-06-16;ALIROCUMABSOLUZIONE INIETTABILE 150 MGPENNA;512967;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;SANOFI S.R.L.
B7D72AAD95;2025-07-31;LOTTO 1 TRATTAMENTI DI DIALISI EXTRACORPOREA;511524;AFFIDAMENTO DIRETTO;APPARECCHI PER EMODIALISI;NIPRO MEDICAL ITALY S.R.L.
B87D51F19A;2025-10-03;RIOCIGUATCOMPRESSE2,5 MG;511093;AFFIDAMENTO DIRETTO;;MSD ITALIA S.R.L.
B74A4AAE50;2025-06-16;EVOLOCUMABSOLUZIONE INIETTABILE 140 MGPENNA;502983;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;AMGEN S.R.L.
B8D35237BE;2025-10-28;MIGALASTAT CLORIDRATOCAPSULE123 MG;501573;AFFIDAMENTO DIRETTO;;AMICUS THERAPEUTICS S.R.L.
B37DEEE84A;2024-10-16;PACEMAKER SENZA FILI;501375;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;ENDO HOSPITAL S.R.L.
B74BF0916E;2025-06-17;SIPONIMODCOMPRESSE RIVESTITE2 MGCOMPRESSA;494706;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;NOVARTIS FARMA SPA
B74B0856E2;2025-06-17;SOFOSBUVIR/VELPATASVIR COMPRESSE RIVESTITE 400 MG + 100 MGCOMPRESSA;494459;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;GILEAD SCIENCES S.R.L.
