# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DI CREMA (ANAC)
# 5487 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B654EA42ED;2025-04-04;CREMA_2025_100_LOT-0001 - PROCEDURA APERTA ESPLETATA IN FORMA TELEMATICA ATTRAVERSO LA PIATTAFORMA SINTEL PER L'AFFIDAMENTO DEL GENERAL CONTRACT DI LABORATORIO COMPRENSIVO DI ATTREZZATURE, REAGENTI, MATERIALE DIAGNOSTICO, GESTIONE DEL MAGAZZINO, FORNITURE E GESTIONE SOFTWARE, INTEGRAZIONI CON LABORA;55128155;PROCEDURA APERTA;SERVIZI DI ANALISI MEDICHE;
B3A41F1157;2024-10-21;PROCEDURA APERTA ESPLETATA IN FORMA TELEMATICA ATTRAVERSO LA PIATTAFORMA SINTEL PER L'AFFIDAMENTO DEL GENERAL CONTRACT DI LABORATORIO COMPRENSIVO DI ATTREZZATURE, REAGENTI, MATERIALE DIAGNOSTICO, GESTIONE DEL MAGAZZINO, FORNITURE E GESTIONE SOFTWARE, INTEGRAZIONI CON LABORATORI ESTERNI - PER UN PERI;51519175;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B7FB73303A;2025-08-19;AFFIDAMENTO DELLA CONDUZIONE DELLE ATTIVITA' GESTIONALI DELL'OSPEDALE DI COMUNITA' SITO IN RIVOLTA D'ADDA, DIPROPRIETA' E ACCREDITAMENTO DELL'ASST DI CREMA, E DELLA FORNITURA DI BENI ECONOMALI E ATTREZZATURE FUNZIONALI ALLO STESSO;16484626;PROCEDURA APERTA;SERVIZI OSPEDALIERI;
B2ED180102;2024-09-05;SERVIZIO DI GESTIONE INTEGRALE DELL'OSPEDALE DI COMUNITA' DELL'ASST DI CREMA SITO IN SONCINO;14277340;PROCEDURA APERTA;SERVIZI OSPEDALIERI;FONDAZIONE RESIDENZA SANITARIO ASSISTENZIALE DI SONCINO ONLU
A05E5636A9;2024-06-27;SERVIZIO PRONTO INTERVENTO ANTINCENDIO ED EMERGENZA - PRESA D'ATTO AGGIUDICAZIONE ASST PAPA GIOVANNI XXIII;7402424;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREVENZIONE DEGLI INCENDI;
B6068FC628;2025-03-12;ADESIONE ALLA CONVENZIONE ARIA_2023_048 SERVIZIO DI RISTORAZIONE PER GLI ENTI DEL SERVIZIO SANITARIO REGIONALE;7344153;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;VIVENDA S.P.A.
B3EC316C33;2024-10-23;PROCEDURA APERTA ESPLETATA IN FORMA TELEMATICA ATTRAVERSO LA PIATTAFORMA SINTEL PER L'AFFIDAMENTO DEL SERVIZIO DI GESTIONE DEL CUP DI RIVOLTA D'ADDA, DEI CUP DI PROSSIMITA' CREMA E DEL CUP DI LIBERA PROFESSIONE DI CREMA PER UN PERIODO DI 36 MESI, CON OPZIONE DI PROROGA PER 24 MESI.;7314677;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B96437AF4D;2025-12-03;LOTTO 1;4987800;AFFIDAMENTO DIRETTO;SERVIZI ASSICURATIVI;BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED
B32AAA046D;2024-09-24;CONTRATTO PONTE GENERAL CONTRACT LABORATORIO ANALISI;4740000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SISTEMI DIAGNOSTICI;
B6DBAD4A86;2025-05-14;SERVICE ELETTROFISIOLOGIA;4711518;AFFIDAMENTO DIRETTO;APPARECCHI PER IL SOSTEGNO DELLE FUNZIONI CARDIACHE;MEDICAL CONCEPT LAB - SOCIETA' PER AZIONI
B758791D39;2025-06-20;PROCEDURA APERTA, ESPLETATA IN FORMA TELEMATICA ATTRAVERSO LA PIATTAFORMA SINTEL, PER L'AFFIDAMENTO DEL SERVIZIO IN SERVICE DI ESECUZIONE DI ESAMI DI LABORATORIO DI GENETICA MOLECOLARE, BIOLOGIA MOLECOLARE, CITOGENETICA E DI PATOLOGIA CLINICA PER UN PERIODO DI 48 MESI, CON POSSIBILITA' DI RINNOVO E ;4092253;PROCEDURA APERTA;SERVIZI DI LABORATORIO;
9667665988;2023-03-28;LOTTO 1 SERVIZIO TRASPORTO DI DEGENTI PRESSO ALTRE STRUTTURE - PRONTA DISPONIBILITÀ - PROGRAMMATI, IN URGENZA ED EMERGENZA - N. 1 AMBULANZA CON EQUIPAGGIO - H 24 - 7 GIORNI SU 7, COMPRESI I FESTIVI.;3903296;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
B47E12C244;2024-11-29;SERVIZIO PDI E URGENZA PSICHIATRICA;3336210;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B9B2244156;2025-12-18;ADESIONE SYSTEM MANAGEMENT 4 - SERVIZIO OUTSOURCING SIA;2931193;AFFIDAMENTO DIRETTO;SERVIZI DI GESTIONE CONNESSI ALL'INFORMATICA;TIM S.P.A.
98535720DA;2023-06-12;LOTTO 5 - AFFIDAMENTO DEL SERIVIZO DI GUARDIA MEDICA DIURNA E NOTTURNA DI MEDICI DI PEDIATRIA;2876086;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;PEDIACOOP SOCIETA' COOPERATIVA
B6F3D58102;2025-05-21;SERVIZIO DI GESTIONE E MANUTENZIONE DELLE APPARECCHIATURE ELETTROMEDICALI DELL'ASST DI CREMA;2861175;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;
B0C2C246EA;2024-03-13;SERVIZIO MENSA DIFFUSA CON CARD ELETTRONICHE;2826923;PROCEDURA APERTA;SERVIZI AZIENDALI VARI;EDENRED ITALIA S.R.L.
B11CBF85F5;2024-04-08;Servizio mensa diffusa con card elettroniche;2826923;PROCEDURA APERTA;Servizi aziendali vari;
9817759F03;2023-06-09;AFFIDAMENTO DELL'APPALTO DI LAVORI RELATIVI ALL''INCREMENTO DEL LIVELLO DI SICUREZZA ANTINCENDIO E CONTESTUALE AMPLIAMENTO E RISTRUTTURAZIONE DEL PRESIDIO DI VIA TERESINE (S.E.R.D. - N.P.I.) IN CREMA;2625862;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SOCIALI;PAOLO BELTRAMI COSTRUZIONI S.P.A.
B9D8A87F77;2025-12-30;LOTTO 2 SERVIZIO DI RITIRO, TRASPORTO E SMALTIMENTO RIFIUTI PER GLI ENTI CON SEDE NELLE PROVINCE DI MANTOVA, CREMONA, PAVIA E LODI;2552622;AFFIDAMENTO DIRETTO;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
B74D55BCC2;2025-06-17;AFFIDAMENTO CON CONTRATTO PONTE, AI SENSI DELL'ART. 76 CO.2 LETT.C) DEL D.LGS. 36/2023, DELLA FORNITURA DI UN SISTEMA INTEGRATO DI SERVIZI DI GESTIONE E CONDUZIONE DEGLI IMPIANTI TECNOLOGICI PER GLI IMMOBILI, ADIBITI PREVALENTEMENTE AD UNO SANITARIO PRESSO ASST DI CREMA;2540218;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI DI EDIFICI;ECOSFERA SERVIZI S.P.A.
9667670DA7;2023-03-28;LOTTO 3 SERVIZIO TRASPORTO DI DEGENTI PRESSO ALTRE STRUTTURE - PRONTA DISPONIBILITÀ - PROGRAMMATI, IN URGENZA ED EMERGENZA - N. 1 AMBULANZA CON EQUIPAGGIO - H 14 - 7 GIORNI SU 7, COMPRESI I FESTIVI.;2468770;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
9853585B91;2023-06-12;LOTTO 6 - AFFIDAMENTO DEL SERVIZIO DI GUARDIA MEDICA DIURN E NOTTURNA E REPERIBILITA' DI MEDICI DI ANESTESIA E RIANIMAZIONE;2412745;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;GAP MED SOCIETA' TRA PROFESSIONISTI S.P.A.
B4AF123504;2024-12-06;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO PER IL SERVIZIO DI PULIZIE E SANIFICAZIONE DEI PP.OO. E STRUTTURE TERRITORIALI DELL'ASST DI CREMA;2195976;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA;MARKAS S.R.L.
A0685F693A;2025-02-24;FARMACI OSPEDALIERI E SERVIZI CONNESSI - JANSSEN-CILAG - ARIA_2023_011.16 - LOTTO 21_DARATUMUMAB_SOLUZIONE INIETABILE_1.800 MG/15ML_FL;2003877;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9745446473;2023-09-27;ATTUAZIONE PNRR - CASA DELLA COMUNITÀ RIVOLTA D'ADDA;1993292;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;LA CASCINA COSTRUZIONI S.R.L.
98535449BC;2023-06-12;LOTTO 3 - AFFIDAMENTO DEL SERVIZIO DI GUARDIA MEDICA DIURNA E NOTTURNA E REPERIBILITÀ DIURNA E NOTTURA DI MEDICI DI OSTETRICIA E GINECOLOGIA;1880658;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;PEDIACOOP SOCIETA' COOPERATIVA
9745319BA3;2023-06-26;ATTUAZIONE PNRR - CASA DELLA COMUNITA' CREMA;1809305;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO NAZIONALE COOPERATIVE DI PRODUZIONE E LAVORO CIRO MENOTTI SOCIETA' COOPERATIVA PER AZIONI
9588405A1C;2023-02-15;LOTTO 1 SERVIZIO DI GESTIONE INFERMIERISTICO - AMMINISTRATIVA DEI PUNTI PRELIEVO TERRITORIALI DELL'ASST DEL GARDA NEI COMUNI DI MANERBA, POZZOLENGO, SIRMIONE E MOLINETTO DI MAZZANO.;1774595;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;LA RONDINE SOCIETA' COOPERATIVA SOCIALE
A06B5A6398;2025-06-09;FARMACI OSPEDALIERI E SERVIZI CONNESSI - MSD ITALIA - ARIA_2023_011.16 - LOTTO 23 - PEMBROLIZUMAB - SOL INFUS CONC - 100 MG/4ML - FL;1670672;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B5C2E087C5;2025-02-23;SERVIZIO DI GESTIONE DEL PROGRAMMADOMICILIARE INTEGRATO E CONTINUITA' DI CURA CON URGENZAPSICHIATRICA;1623913;AFFIDAMENTO DIRETTO;SERVIZI PRESTATI DA PERSONALE MEDICO;MEDICAH24 S.R.L.
A0623290CB;2024-09-23;FORNITURA DI FARMACI OSPEDALIERI - ROCHE - ARIA_2023_011.4 - LOTTO - 22 - PERTUZUMAB + TRASTUZUMAB - FL - 600 MG + 600 MG /10 ML;1582351;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9667047B8A;2023-02-27;FARMACI OSPEDALIERI E SERVIZI CONNESSI - SCIENSUS INTERNATIONAL - ARIA_2022_027.2 - LOTTO 139 - GALSULFASE-SOLUZIONE PER INFUSIONE CONC-1 MG/ML - 5 ML-F/FL;1565256;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
9853562897;2023-06-12;LOTTO 4 - AFFIDAMENTO DEL SERVIZIO DI GUARDIA MEDICA DI MEDICI DI RADIOLOGIA;1558198;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;PEDIACOOP SOCIETA' COOPERATIVA
A044A06EEA;2023-12-29;RISTORAZIONE OSPEDALIERA ASST DI CREMA - CONTRATTO PONTE;1553200;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PREPARAZIONE PASTI;MARKAS S.R.L.
B80B88AD48;2025-08-28;LAVORI RELATIVI ALL'INCREMENTO SICUREZZA ANTINCENDIO E SICUREZZA SISMICA P.O. CREMA.;1484497;PROCEDURA APERTA;LAVORI DI INSTALLAZIONE DI SISTEMI D'ALLARME ANTINCENDIO;
9808487B85;2023-05-11;OSSIGENOTERAPIA DOMICILIARE - NIPPON GASES PHARMA - ARIA_2021_057 - LOTTO 6 - SERVIZIO DI OSSIGENOTERAPIA DOMICILIARE SUPI: ASST DI MANTOVA;1476096;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;
989626610E;2023-06-30;AFFIDAMENTO DEI LAVORI PER IL POTENZIAMENTO IMPIANTI AERAULICI E GAS MEDICINALI DELLA PALAZZINA MEDICA P.O. DI CREMA;1455095;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI INSTALLAZIONE DI IMPIANTI DI VENTILAZIONE;G.A. IMPIANTI TECNOLOGICI S.R.L.
9733610D10;2023-06-12;LOTTO 1- AFFIDAMENTO DEL SERVIZIO DI REPERIBILITA' DIURNA E NOTTURA DI MEDICI DI PSICHIATRIA;1410742;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;PEDIACOOP SOCIETA' COOPERATIVA
B7D7730933;2025-08-01;AFFIDAMENTO, IN CONCESSIONE, AI SENSI DEGLI ARTT. 14, 71, 176 ESS DEL D. LGS. N. 36/2023, DEL SERVIZIO DI DISTRIBUZIONE AUTOMATICA DI BEVANDE CALDE, FREDDE ESNACK, A RIDOTTO IMPATTO AMBIENTALE, DI DISTRIBUTORI A CIALDE E DI EROGATORI DI ACQUA DI RETENELLE SEDI DELL'ASST DI CREMA – INDIZIONE E CONTES;1385000;ND P1_19;ALTRI SERVIZI;
A050E877EC;2024-03-07;ADESIONE CONVENZIONE CONSIP DIALISI 4 LOTTO 1;1370406;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER EMODIALISI;
B266223A7B;2024-07-10;FORNITURA E INSTALLAZIONE DI N. 1 TOMOGRAFO COMPUTERIZZATO COMPRENSIVA DI ASSISTENZA TECNICA E MANUTENZIONE FULL RISK;1354677;PROCEDURA APERTA;Scanner CT;
9699473255;2023-08-04;ATTUAZIONE PNRR - OSPEDALE DI COMUNITÀ RIVOLTA D'ADDA;1315000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;I.TEC SRL COSTRUZIONI GENERALI
A0486C1CB5;2023-12-14;DELIB 911 DEL 14/12/2023 - PRESA D'ATTO DELIBERA 2374 DEL 2/11/2023 ASST BG OVEST DI ESITO DELLA PROCEDURA DI GARA SOPRA SOGLIA COMUNITARIA AGGREGATA PER L'AFFIDAMENTO DELLA FORNITURA DI UN SISTEMA UNIICO DI PRELIEVO VENOSO SOTTOVUOTO CON PROVETTE PER LA RACOLTA DEL CAMPÈIONE ANCHE CAPILLARE;1312020;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PROVETTE PER TEST;
B48C3DB2F6;2024-12-01;ADESIONE ALLA CONVENZIONE FARMACI ARIA E SERVIZI CONNESSI - DAIICHI SANKYO ITALIA - ARIA_2024_008.1 - LOTTO 174 - TRASTUZUMAB DERUXTECAN POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE 100 MG;1293144;AFFIDAMENTO DIRETTO;MEDICINALI VARI;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
9608362F24;2023-02-15;LOTTO 4 SERVIZIO DI GESTIONE INFERMIERISTICO - AMMINISTRATIVA DEI PUNTI PRELIEVO E ATTIVITÀ DI PRELIEVO SEDI VARIE;1210527;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
9733630D91;2023-06-12;LOTTO 2 - AFFIDAMENTO DEL SERVIZIO DI GUARDIA MEDICA DI MEDICI DI PRONTO SOCCORSO;1205110;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;MEDICAL SERVICE ASSISTANCE S.R.L.
9606800626;2023-01-30;ADESIONE CONVENZIONE ARCA_2018_062 LOTTO 1 TNT STERILE - DITTA MOLNLYCKE HEALTH CARE;1200000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALI MEDICI;MOLNLYCKE HEALTH CARE S.R.L.
B83BA1DFE6;2025-09-13;LOTTO 234 - IBRUTINIB CPR RIV/CPS RIGIDE 140MG;1156007;AFFIDAMENTO DIRETTO;MEDICINALI VARI;JANSSEN CILAG S.P.A.
A06394C558;2024-10-28;FARMACI ARIA OSPEDALIERI E SERVIZI CONNESSI - MSD ITALIA - ARIA_2022_027.2 - LOTTO 538 - PEMBROLIZUMAB-POLV CONC SOLUZIONE PER INFUS-100 MG-F/FL;1130210;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
95657388B6;2023-03-13;AS - SERVIZI APPLICATIVI IN OTTICA CLOUD;1070599;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;LUTECH S.P.A.
9667667B2E;2023-03-28;LOTTO 2 SERVIZIO TRASPORTO DI DEGENTI PRESSO ALTRE STRUTTURE - PRONTA DISPONIBILITÀ - PROGRAMMATI, IN URGENZA ED EMERGENZA - N. 1 AMBULANZA CON EQUIPAGGIO - H 7 - 5 GIORNI SU 7.;1063139;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
B2DECA7721;2024-08-29;AMVUTTRA 25 MG SULUZIONE INIETTABILE USO SOTTOCUTANEO;1030257;ALTRA PROCEDURA A PIU' FASI;MEDICINALI VARI;
9968174D66;2023-08-04;ADESIONE ALLA CONVENZIONE ARIA ACCORDO QUADRO PER I LAVORI DI 'ADEGUAMENTO NORMATIVO IMPIANTI TECNOLOGICI E GAS MEDICALI DEL P.O. DI RIVOLTA D'ADDA';991054;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;I.TEC SRL COSTRUZIONI GENERALI
98299180F4;2023-06-12;CARTELLA CLINICA ELETTRONICA - ACCORDO QUADRO PER L'AFFIDAMENTO DI SERVIZI APPLICATIVI PER LE PUBBLICHE AMMINISTRAZIONI - SANITA' DIGITALE - SISTEMI INFORMATIVI CLINICO ASSISTENZIALI - ID 2202 - - LOTTO 1;975117;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;GPI S.P.A.
9565837A68;2023-02-01;ADESIONE AL LOTTO 4 DELL'ACCORDO QUADRO CONSIP 'SERVIZI APPLICATIVI IN OTTICA CLOUD E PMO - ORDINE DIRETTO' - RTI MAGGIOLI;965016;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CONSULENZA PER LA GESTIONE DI PROGETTI;MAGGIOLI S.P.A.
984797995A;2023-05-26;PROCEDURA PER LA FORNITURA DEL FARMACO PHESGO 1200 E 600 MG;962595;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B6FECFE41F;2025-05-26;LAVORI DI ADEGUAMENTO SISMICO DELLA PIASTRA URGENZE EMERGENZE DEL PRESIDIO OSPEDALIERO DI CREMA;934317;PROCEDURA APERTA;LAVORI STRUTTURALI;PETRA' S.R.L.
A03FDD708C;2023-12-21;CONTRATTO PONTE SERVIZIO DI PRELIEVO, TRASPORTO, SMALTIMENTO E/O RECUPERO DEI RIFIUTI SPECIALI PERICOLOSI A RISCHIO INFETTIVO E DI ALTRE TIPOLOGIE DI RIFIUTI SPECIALI;926268;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
A02FC51CAD;2023-11-22;1 REFACTO;914760;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;
A02C5492E7;2023-12-28;LOTTO 2 SERVIZIO DI GESTIONE DEI PUNTI PRELIEVO E ATTIVITÀ DI PRELIEVO SEDI DI: CASALE CREMASCO, CREDERA RUBBIANO, CHIEVE, CREMA (VIALE EUROPA), MONTE CREMASCO, SERGNANO, BAGNOLO, PALAZZO PIGNANO, SCANNABUE E VAIANO CREMASCO.;900256;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B0C398A571;2024-03-13;SERVIZIO DI GESTIONE DEI PUNTI PRELIEVO E ATTIVITÀ DI PRELIEVO SEDI DI: CASALE CREMASCO, CREDERA RUBBIANO, CHIEVE, CREMA (VIALE EUROPA), MONTE CREMASCO, SERGNANO, BAGNOLO, PALAZZO PIGNANO, SCANNABUE E VAIANO CREMASCO;900256;PROCEDURA APERTA;SERVIZI SANITARI;LA RONDINE SOCIETA' COOPERATIVA SOCIALE
B32C3EB3C4;2024-09-25;ADESIONE CONVENZIONE CONSIP - ENERGIA ELETTRICA 21;900000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A S.P.A.
B59C3D3EA7;2025-02-12;ADESIONE ALLA CONVENZIONE CONSIP PER LA FORNITURA DI ENERGIA ELETTRICA 21,LOTTO 3 – A2A ENERGIA SPA – ANNO 2025;900000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A ENERGIA S.P.A.
B8B0347E83;2025-10-17;ADESIONE CONVENZIONE PER FORNITURA ENERGIA ELETTRICA 22;900000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
B1BC0B3D5A;2024-05-22;SERVIZIO DI TRASPORTO INTERNO DI PAZIENTI RICOVERATI (AUTONOMI – IN CARROZZINA – ALLETTATI) COMPRENSIVO DI IMPOSTAZIONE – ORGANIZZAZIONE – GESTIONE DIRETTA – MONITORAGGIO DEL SERVIZIO;873000;PROCEDURA APERTA;VARI SERVIZI SANITARI;CONSORZIO HCM
A02C542D1D;2023-12-28;LOTTO 1 SERVIZIO DI GESTIONE DEI PUNTI PRELIEVO E ATTIVITÀ DI PRELIEVO SEDI DI: SPINO D'ADDA, MONTODINE, OFFANENGO, ROMANENGO, RIPALTA CREMASCA, RIPALTA GUERINA, RICENGO, CAMISANO, CAPERGNANICA E RIPALTA ARPINA.;830641;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B0C398949E;2024-03-13;SERVIZIO DI GESTIONE DEI PUNTI PRELIEVO E ATTIVITÀ DI PRELIEVO SEDI DI: SPINO D'ADDA, MONTODINE, OFFANENGO, ROMANENGO, RIPALTA CREMASCA, RIPALTA GUERINA, RICENGO, CAMISANO, CAPERGNANICA E RIPALTA ARPINA;830641;PROCEDURA APERTA;SERVIZI SANITARI;LA RONDINE SOCIETA' COOPERATIVA SOCIALE
98286770D9;2023-05-26;VACCINI ARIA - GLAXOSMITHKLINE - ARIA_2023_028 - LOTTI 1 E 4 - LOTTO 4 - VACCINO ANTI HERPES ZOSTER UTILIZZABILE DAI 18 ANNI;830500;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VACCINI;GLAXOSMITHKLINE S.P.A.
B32139A389;2024-09-20;AFFIDAMENTO CON CONTRATTO PONTE DEL SERVIZIO LAVANOLO DELL'ASST DI CREMA, PER IL PERIODO 01/10/2024 – 31/03/2024 CON OPZIONE DI PROROGA PER ULTERIORI 6 MESI;808046;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;
A01A686E37;2023-10-06;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 20, LOTTO 3;800000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
B0C2E85D78;2024-03-13;Servizio di trasporto interno di pazienti ricoverati (autonomi – in carrozzina – allettati) comprensivo di impostazione – organizzazione – gestione diretta – monitoraggio del servizio;789000;PROCEDURA APERTA;Vari servizi sanitari;
A06745D397;2025-01-27;FARMACI ARIA OSPEDALIERI - CSL BEHRING - ARIA_2022_027.7 - LOTTO 5 - IMMUNOGLOBULINA UMANA NORMALE SOLUZIONE INIETTABILE - USO SOTTOCUTANEO 200 MG/ML 50 ML;780000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B741FD0C60;2025-06-12;LOTTO 48 - MEPOLIZUMAB SOL. INIETT. 100 MG/ML - TUTTI I CONF. (PENNA - SIRINGA);769728;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GLAXOSMITHKLINE S.P.A.
B48C3F36C3;2024-12-02;DEFIBRILLATORE TRICAMERALE CON ALGORITMI ED ELETTROCATETERI DEDICATI;754560;AFFIDAMENTO DIRETTO;APPARECCHI PER IL SOSTEGNO DELLE FUNZIONI CARDIACHE;Operatore individuale (persona fisica)
A0125475F8;2023-09-14;SERVIZI DI FORNITURA DI PERSONALE COMPRESO PERSONALE TEMPORANEO - RTI RANDSTAD - ARCA_2019_120 - LOTTO 2 - CATEGORIE D E DS PROFILO SANITARIO DEL CCNL COMPARTO SANITÀ;721000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;RANDSTAD ITALIA SPA
B528711CF6;2025-01-13;REALIZZAZIONE E MANUTENZIONE SERVIZIO PACS AZIENDALE;720060;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;ENGINEERING - INGEGNERIA INFORMATICA - S.P.A.
B76962FF3C;2025-06-25;LOTTO 141_EMICIZUMAB_SOLUZIONE INIETTABILE_60MG/0,4ML_FLACONE;691617;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B5C7095327;2025-02-24;ADESIONE CONVENZIONE AQ_ARIA_2022_412_SERVIZI DI INGEGNERIA E ARCHITETTURA - LOTTO N. 8 - INTERVENTO DI SOSTITUZIONE IMPIANTI CENTRALE GRIGORIFERA E UNITA' TRATTAMENTO ARIA DEL P.O. DI CREMA.;687729;AFFIDAMENTO DIRETTO;SERVIZI DI PROGETTAZIONE ARCHITETTONICA;3TI PROGETTI ITALIA - INGEGNERIA INTEGRATA S.P.A. IN BREVE 3TI ITALIA S.P.A.
